country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Nigeria,2017,Gold,Import,128544,123.97,16.502
Norway,2017,Gold,Import,3047671,2521.138,1.875
Norway,2017,Gold,Import,1366,0.007,1.875
Pakistan,2017,Gold,Import,716,0.432,4.148
Panama,2017,Gold,Import,30916,18.847,0.876
Panama,2017,Gold,Import,91426,0.002,0.876
Papua New Guinea,2017,Gold,Import,114404,142.5,5.428205
Paraguay,2017,Gold,Import,12733,11.536,3.603
Peru,2017,Gold,Import,153870,160.796,2.804
Philippines,2017,Gold,Import,82567,56.287,2.853
Philippines,2017,Gold,Import,36079,0.001,2.853
Poland,2017,Gold,Import,8125597,6055.124,1.975
Poland,2017,Gold,Import,528599,0.011,1.975
Portugal,2017,Gold,Import,3993484,4040.975,1.556
Qatar,2017,Gold,Import,1227850,1448.808,0.395
Romania,2017,Gold,Import,1355205,1274.173,1.344
Rwanda,2017,Gold,Import,24,0.02,4.837
Saint Helena,2017,Gold,Import,330,0.36,5.1
Saint Kitts and Nevis,2017,Gold,Import,2444,2.064,
Saint Lucia,2017,Gold,Import,2440,2.472,
Saudi Arabia,2017,Gold,Import,2112541,2467.132,-0.852
Saudi Arabia,2017,Gold,Import,5581,0.003,-0.852
Senegal,2017,Gold,Import,76816,73.673,1.317
Serbia,2017,Gold,Import,789734,468.283,3.131
Seychelles,2017,Gold,Import,47155,49.193,2.859
Sierra Leone,2017,Gold,Import,4628,4.734,18.22
India,2017,Gold,Import,928,0.489,3.602
India,2017,Gold,Import,42488,0.002,3.602
India,2017,Gold,Import,70837,0.002,3.602
Singapore,2017,Gold,Import,755795,811.777,0.576
Singapore,2017,Gold,Import,2109073,0.059,0.576
Slovakia,2017,Gold,Import,264209,289.686,
Slovakia,2017,Gold,Import,499790,0.012,
Viet Nam,2017,Gold,Import,130127,97.364,3.521
Slovenia,2017,Gold,Import,1214621,1254.531,1.432
Slovenia,2017,Gold,Import,40926,0.001,1.432
Slovenia,2017,Gold,Import,543,,1.432
Somalia,2017,Gold,Import,176658,214.103,
South Africa,2017,Gold,Import,2141132,2325.124,5.273
South Africa,2017,Gold,Import,86,0.004,5.273
Spain,2017,Gold,Import,15344039,16442.828,1.956
Spain,2017,Gold,Import,118554,0.003,1.956
Spain,2017,Gold,Import,170644,,1.956
South Sudan,2017,Gold,Import,9031,8.88,187.867
Sudan,2017,Gold,Import,523985,543.549,32.352
Suriname,2017,Gold,Import,53794,35.0,22.024
Sweden,2017,Gold,Import,11025082,9738.04,1.867
Sweden,2017,Gold,Import,12702,0.001,1.867
Switzerland,2017,Gold,Import,2390621,1455.341,0.534
Switzerland,2017,Gold,Import,907532796,23.079,0.534
Switzerland,2017,Gold,Import,24407279,0.004,0.534
Thailand,2017,Gold,Import,66376,68.993,0.665
Thailand,2017,Gold,Import,25564599,0.63,0.665
Thailand,2017,Gold,Import,27481924,0.71,0.665
Togo,2017,Gold,Import,3997,4.224,-0.215
Trinidad and Tobago,2017,Gold,Import,127390,122.683,1.884
United Arab Emirates,2017,Gold,Import,6611687,8296.83,1.967
United Arab Emirates,2017,Gold,Import,137652047,3.423,1.967
Tunisia,2017,Gold,Import,316670,339.467,5.308839
TÃ¼rkiye,2017,Gold,Import,708500,485.191,
TÃ¼rkiye,2017,Gold,Import,160416386,6.266,
Uganda,2017,Gold,Import,8124,10.962,5.629
Ukraine,2017,Gold,Import,2763,3.809,14.443
Ukraine,2017,Gold,Import,2822,0.002,14.443
North Macedonia,2017,Gold,Import,1288,1.28,
United Kingdom,2017,Gold,Import,51082873,58193.608,2.683
United Kingdom,2017,Gold,Import,1226,,2.683
